classifier,classifier_roc_auc,regressor,reg_train_mae_on_events,reg_test_mae_on_events,prob_weighted_mae,prob_weighted_rmse,hard50_mae,hard50_rmse,best_th,best_th_mae
RandomForest,0.8809673476514756,RandomForestReg,21.02741558196961,37.13623097361991,31.958217620337372,43.94208674328828,42.30159512177042,51.674553743203326,0.33,40.11140806270984
RandomForest,0.8809673476514756,ElasticNet,34.45649649431219,34.302955429671506,32.098483359495134,44.06893909604007,41.06945535992649,50.99392064288299,0.0,36.63693546518312
LogisticRegression,0.8626593329841103,RandomForestReg,21.02741558196961,37.13623097361991,32.69457910222027,45.23256775451173,43.69123779316056,53.33706169664388,0.32,40.680424112144955
XGBClassifier,0.8838047843548105,ElasticNet,34.45649649431219,34.302955429671506,32.85199573160903,43.92692274599412,40.97732084973753,50.1197472047591,0.0,36.63693546518312
RandomForest,0.8809673476514756,XGBRegressor,10.573417545704546,37.75371251853115,32.887193387523915,44.805081121405145,42.598745683944,51.90638535459966,0.33,39.9328132639228
LogisticRegression,0.8626593329841103,ElasticNet,34.45649649431219,34.302955429671506,32.952498205168865,45.6151726912806,42.36793861112082,52.49408953039498,0.22,36.581850688654505
XGBClassifier,0.8838047843548105,RandomForestReg,21.02741558196961,37.13623097361991,33.21508253725838,44.39595534902241,42.2655576619474,50.913303451190544,0.29,40.3900775737822
RandomForest,0.8809673476514756,GradientBoosting,15.47370061617575,38.5420393904701,33.47775718775764,46.228648014530606,43.067002180542524,53.27200257505932,0.33,40.55261229221345
LogisticRegression,0.8626593329841103,XGBRegressor,10.573417545704546,37.75371251853115,33.615381727210874,45.86549214356447,44.18737149316219,53.811849435192734,0.26,40.40409178783855
LogisticRegression,0.8626593329841103,GradientBoosting,15.47370061617575,38.5420393904701,33.795407668194194,47.02444750269435,44.536287642225204,54.91998557096861,0.26,40.95345040211857
XGBClassifier,0.8838047843548105,XGBRegressor,10.573417545704546,37.75371251853115,34.08549302954405,45.1464149559088,42.68433031340584,51.25751958491611,0.29,40.474883603031834
XGBClassifier,0.8838047843548105,GradientBoosting,15.47370061617575,38.5420393904701,34.525343820806825,46.72884499785923,43.123298360111946,52.573784054699,0.15,40.96958686499189
